pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,950.3473902788462
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,947.94324156436
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,938.1507545691277
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,928.7318097840432
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,927.1642056012095
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,935.0107307209607
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,946.7423603266259
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,953.9017333075105
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,951.4717272591358
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,941.6534643874691
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,932.2088328109012
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,930.6156385226693
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,938.4366777956318
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,950.1429333547896
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,957.2770515980371
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,954.8219175941786
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,944.9786609849475
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,935.5091772847838
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,933.8912798410681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,941.6877722367196
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,953.3696444605555
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,960.4795501258911
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,958.0003814664221
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,948.1332752361234
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,938.640134006921
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,936.9987781268396
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,944.7720181205268
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,956.4308508575598
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,963.5179367690087
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,961.0161748413013
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,951.1267085141244
